anio_hecho,mes_hecho,fecha_hecho,hora_hecho,categoria_delito,fiscalia,agencia,unidad_investigacion,colonia_hecho,colonia_catalogo,latitud,longitud,mes_numerico,hora,lat_anon,lon_anon
2024,Junio,2024-06-18,02:32:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,MIGUEL HIDALGO 1A SECCIÓN,Miguel Hidalgo,19.2849663598341,-99.1864116499999,6,2,19.285,-99.186
2024,Junio,2024-06-15,10:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-5,UI-1SD,SAN MIGUEL TOPILEJO,Pueblo San Miguel Topilejo,19.2010378898345,-99.1411895999999,6,10,19.201,-99.141
2024,Junio,2024-06-19,16:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-1,UI-1SD,HÉROES DE PADIERNA,Heroes De Padierna,19.2778647798341,-99.2192043399999,6,16,19.278,-99.219
2024,Julio,2024-07-05,17:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,MIGUEL HIDALGO 3A SECCIÓN,Miguel Hidalgo 3a Seccion,19.2793737298339,-99.2102484399999,7,17,19.279,-99.21
2024,Junio,2024-06-30,17:30:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-5,UI-1SD,PLAN DE AYALA,La Palma,19.2346334298339,-99.1504673699999,6,17,19.235,-99.15
2024,Julio,2024-07-05,22:30:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-5,UI-1SD,SAN ANDRÉS TOTOLTEPEC,Desconocido,19.2301005428821,-99.1656885032754,7,22,19.23,-99.166
2024,Julio,2024-07-04,11:20:00,DELITO DE BAJO IMPACTO,AGENCIA DE DENUNCIA DIGITAL,CEN-C,UI-1SD,LOMAS DE PADIERNA,Lomas De Padierna,19.2895360298341,-99.2178980999999,7,11,19.29,-99.218
2024,Julio,2024-07-01,18:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,PLAZA COAPA,Villa Coapa,19.2940612598341,-99.12834853,7,18,19.294,-99.128
2024,Julio,2024-07-05,22:30:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,TLALPAN CENTRO I,Tlalpan,19.2950207198337,-99.1760006499999,7,22,19.295,-99.176
2024,Junio,2024-06-29,17:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,MESA DE LOS HORNOS,Mesa De Los Hornos,19.2753405398338,-99.1827852999999,6,17,19.275,-99.183
2024,Abril,2024-04-06,19:30:00,VIOLACIÓN,"FISCALÍA DE INVESTIGACIÓN DE DELITOS COMETIDOS EN AGRAVIO DE NIÑAS, NIÑOS Y ADOLESCENTES",59,UI-3CD,CHIMALCOYOTL,Pueblo Chimalcoyotl,19.2713756188528,-99.1632320346399,4,19,19.271,-99.163
2024,Julio,2024-07-06,02:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-5,UI-1SD,HÉROES DE 1910,Heroes De 1910,19.2443481598342,-99.2409757299998,7,2,19.244,-99.241
2024,Julio,2024-07-06,04:30:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,TLP-3,UI-3CD,CHIMILLI,Chimilli,19.2687453598343,-99.2173527199999,7,4,19.269,-99.217
2024,Julio,2024-07-06,04:45:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,TLP-3,UI-3CD,SAN LORENZO HUIPULCO,Pueblo San Lorenzo Huipulco,19.296157379834,-99.1521987299999,7,4,19.296,-99.152
2024,Julio,2024-07-05,16:30:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-5,UI-1SD,SAN ANDRÉS TOTOLTEPEC,Pueblo San Andres Totoltepec,19.2489833098343,-99.1698154799999,7,16,19.249,-99.17
2023,Agosto,2023-08-29,12:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-4,UI-1SD,GRANJAS COAPA,Magisterial Coapa,19.2934074798337,-99.1147745399999,8,12,19.293,-99.115
