anio_hecho,mes_hecho,fecha_hecho,hora_hecho,categoria_delito,fiscalia,agencia,unidad_investigacion,colonia_hecho,colonia_catalogo,latitud,longitud,mes_numerico,hora,lat_anon,lon_anon
2024,Enero,2024-01-01,08:20:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,TLP-3,UI-3CD,TLALPAN CENTRO I,Tlalpan,19.2949181890535,-99.1750042100468,1,8,19.295,-99.175
2024,Enero,2024-01-01,08:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-5,UI-1SD,SAN MIGUEL AJUSCO,El Charco,19.2320566066898,-99.2131626598403,1,8,19.232,-99.213
2024,Enero,2024-01-01,02:00:00,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-1,UI-1SD,HÉROES DE PADIERNA,Heroes De Padierna,19.2795826125947,-99.2177733799449,1,2,19.28,-99.218
2023,Diciembre,2023-12-26,19:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,SANTA ÚRSULA XITLA,Pueblo Santa Ursula Xitla,19.2809282518884,-99.1796310195307,12,19,19.281,-99.18
2023,Noviembre,2023-11-08,17:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,SANTA ÚRSULA XITLA,Fuentes Brotantes,19.2806105131039,-99.1825881600248,11,17,19.281,-99.183
2023,Diciembre,2023-12-31,07:00:00,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN CUAUHTÉMOC,UAT-CUH-6,UI-1SD,SAN ANDRÉS TOTOLTEPEC,Pueblo San Andres Totoltepec,19.2509253257518,-99.1735759403424,12,7,19.251,-99.174
2023,Diciembre,2023-12-03,19:50:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,BELISARIO DOMÍNGUEZ SECCIÓN XVI,Belisario Dominguez Seccion Xvi,19.2944890887373,-99.1561523096178,12,19,19.294,-99.156
2024,Enero,2024-01-01,13:40:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,TLP-3,UI-3CD,SANTO TOMAS AJUSCO,Pueblo Santo Tomas Ajusco,19.2253351559146,-99.2116445297422,1,13,19.225,-99.212
2024,Enero,2024-01-01,01:10:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,TORIELLO GUERRA,Toriello Guerra,19.2969902478449,-99.1685977600453,1,1,19.297,-99.169
2023,Diciembre,2023-12-30,23:20:00,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,SAN ANDRÉS TOTOLTEPEC,Pueblo San Andres Totoltepec,19.2560865733647,-99.1698456598808,12,23,19.256,-99.17
2023,Diciembre,2023-12-31,20:00:00,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,LA GUADALUPANA,Pueblo San Miguel Topilejo,19.1947579198718,-99.1504005295267,12,20,19.195,-99.15
2023,Diciembre,2023-12-31,12:40:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-5,UI-1SD,SAN MIGUEL TOPILEJO,Pueblo San Miguel Topilejo,19.1990547071573,-99.1434810202905,12,12,19.199,-99.143
2024,Enero,2024-01-02,11:10:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,TLP-3,UI-1CD,TORIELLO GUERRA,Toriello Guerra,19.2950390285788,-99.1594803903183,1,11,19.295,-99.159
2024,Enero,2024-01-02,01:30:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,EL MIRADOR 3A SECCIÓN,El Mirador 3a Seccion,19.2697349718537,-99.1855807899596,1,1,19.27,-99.186
2023,Octubre,2023-10-21,12:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-4,UI-1SD,RESIDENCIAL MIRAMONTES,Residencial Miramontes,19.3029971756427,-99.1225747199415,10,12,19.303,-99.123
2023,Enero,2023-01-01,22:30:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-5,UI-1SD,SAN MIGUEL TOPILEJO,Pueblo Ocotla,19.1902696401817,-99.1651340395967,1,22,19.19,-99.165
2023,Diciembre,2023-12-29,14:30:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,MESA DE LOS HORNOS,Mesa De Los Hornos,19.2742826688425,-99.1849335697626,12,14,19.274,-99.185
2023,Noviembre,2023-11-27,12:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,TLALPAN CENTRO II,Tlalpan Centro,19.2835516830838,-99.1649393598181,11,12,19.284,-99.165
2024,Enero,2024-01-01,14:15:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,SAN ANDRÉS TOTOLTEPEC,Ejidos De San Pedro Martir,19.2667301225242,-99.1609977599398,1,14,19.267,-99.161
2023,Noviembre,2023-11-27,12:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,TLALPAN CENTRO II,Tlalpan Centro,19.2835141091145,-99.1649355399845,11,12,19.284,-99.165
2023,Diciembre,2023-12-29,02:00:00,DELITO DE BAJO IMPACTO,AGENCIA DE DENUNCIA DIGITAL,CEN-A,UI-1SD,SAN ANDRÉS TOTOLTEPEC,Tlalpuente,19.2477511517799,-99.178351610025,12,2,19.248,-99.178
2023,Diciembre,2023-12-31,11:30:00,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-5,UI-1SD,ZACATÓN,Desconocido,19.2545354060701,-99.2447626596717,12,11,19.255,-99.245
2024,Enero,2024-01-01,01:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,TORIELLO GUERRA,Toriello Guerra,19.2967007106074,-99.1686936502528,1,1,19.297,-99.169
2024,Enero,2024-01-01,02:00:00,DELITO DE BAJO IMPACTO,AGENCIA DE DENUNCIA DIGITAL,CEN-A,UI-1SD,EX HACIENDA SAN JUAN DE DIOS,Ex Hacienda San Juan De Dios,19.2869444577434,-99.1316905598227,1,2,19.287,-99.132
2023,Noviembre,2023-11-14,16:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,CHICHICASPATL,Chichicaspatl,19.2738030655726,-99.2442052098414,11,16,19.274,-99.244
2024,Enero,2024-01-02,11:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-1,UI-1SD,SAN ANDRÉS TOTOLTEPEC,Ejidos De San Pedro Martir,19.2675834022688,-99.1610741596321,1,11,19.268,-99.161
2023,Diciembre,2023-12-30,23:15:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-5,UI-1SD,LA GUADALUPANA,Pueblo San Miguel Topilejo,19.1984352238139,-99.1443231002057,12,23,19.198,-99.144
2023,Septiembre,2023-09-08,11:15:00,DELITO DE BAJO IMPACTO,AGENCIA DE DENUNCIA DIGITAL,CEN-A,UI-1SD,TLALCOLIGIA,Pueblo Santa Ursula Xitla,19.2807166302039,-99.171285109756,9,11,19.281,-99.171
2024,Enero,2024-01-01,14:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-4,UI-1SD,NARCISO MENDOZA SUPER MANZANA 3 VILLA COAPA,Residencial Villa Coapa,19.289115136301,-99.1220647803174,1,14,19.289,-99.122
2023,Diciembre,2023-12-31,21:30:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-1,UI-1SD,LOMAS HIDALGO,Lomas Hidalgo,19.2732140517532,-99.2162232098431,12,21,19.273,-99.216
2023,Diciembre,2023-12-31,02:30:00,DELITO DE BAJO IMPACTO,AGENCIA DE DENUNCIA DIGITAL,CEN-A,UI-1SD,PEDREGAL DE SAN NICOLÁS 3A SECCIÓN,Pedregal De San Nicolas 3a Seccion,19.2838602454642,-99.2410307901386,12,2,19.284,-99.241
2023,Octubre,2023-10-17,02:00:00,DELITO DE BAJO IMPACTO,AGENCIA DE DENUNCIA DIGITAL,CEN-A,UI-1SD,CUMBRES DE TEPETONGO,Cumbres De Tepetongo,19.2725132794446,-99.1883821800197,10,2,19.273,-99.188
2024,Enero,2024-01-01,05:35:00,DELITO DE BAJO IMPACTO,AGENCIA DE DENUNCIA DIGITAL,CEN-A,UI-1SD,SAN ANDRÉS TOTOLTEPEC,Desconocido,19.2297799919672,-99.1657125899632,1,5,19.23,-99.166
2024,Enero,2024-01-02,10:00:00,DELITO DE BAJO IMPACTO,AGENCIA DE DENUNCIA DIGITAL,CEN-A,UI-1SD,HÉROES DE PADIERNA,Colinas Del Ajusco,19.2880779419619,-99.2181310096105,1,10,19.288,-99.218
2023,Diciembre,2023-12-29,19:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,TLALPAN CENTRO II,Tlalpan Centro,19.2850358361367,-99.1678480797493,12,19,19.285,-99.168
2023,Diciembre,2023-12-27,13:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-4,UI-1SD,VILLA CUEMANCO INFONAVIT,Granjas Coapa,19.293604728933,-99.1056689597563,12,13,19.294,-99.106
2023,Diciembre,2023-12-28,07:40:00,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,AGENCIA DE DENUNCIA DIGITAL,CEN-A,UI-1SD,GUADALUPE TLALPAN,Arenal De Guadalupe,19.2891960838513,-99.1472911804625,12,7,19.289,-99.147
2024,Enero,2024-01-02,21:40:00,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE JUSTICIA PENAL PARA ADOLESCENTES,AEJPA,1 CON DETENIDO,EMILIO PORTES GIL,Ampliacion Fuentes Del Pedregal,19.3088519501659,-99.2178067600816,1,21,19.309,-99.218
2023,Diciembre,2023-12-15,08:30:00,DELITO DE BAJO IMPACTO,AGENCIA DE DENUNCIA DIGITAL,CEN-A,UI-1SD,TORIELLO GUERRA,Toriello Guerra,19.2959846711109,-99.1545408998597,12,8,19.296,-99.155
2023,Diciembre,2023-12-19,10:30:00,DELITO DE BAJO IMPACTO,AGENCIA DE DENUNCIA DIGITAL,CEN-A,UI-1SD,MIGUEL HIDALGO 1A SECCIÓN,Miguel Hidalgo,19.2864942428848,-99.183711559921,12,10,19.286,-99.184
2023,Diciembre,2023-12-30,01:30:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-4,UI-1SD,SAN LORENZO HUIPULCO,Pueblo San Lorenzo Huipulco,19.2991949301514,-99.1494870200008,12,1,19.299,-99.149
2023,Diciembre,2023-12-30,21:10:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,PEDREGAL DE LAS ÁGUILAS,Pedregal De Las Aguilas,19.2712646330972,-99.1739331597684,12,21,19.271,-99.174
2024,Enero,2024-01-03,10:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,TLP-3,UI-2CD,NARCISO MENDOZA SUPER MANZANA 5 VILLA COAPA,Narciso Mendoza,19.2928983405514,-99.1260012401318,1,10,19.293,-99.126
2023,Enero,2023-01-02,13:00:00,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,A.M.S.A,A M S A,19.2844474484169,-99.1374779598179,1,13,19.284,-99.137
2023,Diciembre,2023-12-30,23:40:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,SAN ANDRÉS TOTOLTEPEC,Pueblo San Andres Totoltepec,19.2511764494379,-99.1766529695495,12,23,19.251,-99.177
2021,Enero,2021-01-01,09:00:00,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-1,UI-1SD,LOMAS DE TEPEMECATL,Desconocido,19.2413809969482,-99.2281032797942,1,9,19.241,-99.228
2024,Enero,2024-01-02,19:25:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,MESA DE LOS HORNOS,Mesa De Los Hornos,19.2751846629961,-99.1830116800954,1,19,19.275,-99.183
2024,Enero,2024-01-01,10:30:00,ROBO A REPARTIDOR CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,LA MAGDALENA PETLACALCO,Pueblo La Magdalena Petlacalco,19.234890427646,-99.1816560900349,1,10,19.235,-99.182
2023,Diciembre,2023-12-30,09:25:00,DELITO DE BAJO IMPACTO,AGENCIA DE DENUNCIA DIGITAL,CEN-B,UI-1SD,PEDREGAL DE SAN NICOLÁS 3A SECCIÓN,Pedregal De San Nicolas 3a Seccion,19.2816931468836,-99.2415763097592,12,9,19.282,-99.242
2023,Mayo,2023-05-18,05:45:00,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN ESTRATÉGICA DEL DELITO DE ROBO DE VEHÍCULOS Y TRANSPORTE,ORIENTEII,UI-2CD,PEDREGAL DE SANTA ÚRSULA XITLA,Pedregal De Santa Ursula Xitla,19.2718744015619,-99.1791569403024,5,5,19.272,-99.179
2023,Enero,2023-01-03,04:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,SAN ANDRÉS TOTOLTEPEC,Desconocido,19.2261348710474,-99.1752658603043,1,4,19.226,-99.175
2023,Diciembre,2023-12-28,08:20:00,DELITO DE BAJO IMPACTO,AGENCIA DE DENUNCIA DIGITAL,CEN-B,UI-1SD,RESIDENCIAL VILLA COAPA SUPER MANZANA 1,Residencial Villa Coapa,19.2910119577281,-99.1162450600913,12,8,19.291,-99.116
2023,Diciembre,2023-12-20,06:53:00,DELITO DE BAJO IMPACTO,AGENCIA DE DENUNCIA DIGITAL,CEN-B,UI-1SD,PEDREGAL DE SAN NICOLÁS 1A SECCIÓN,Pedregal De San Nicolas 1a Seccion,19.2926910391756,-99.2335373900745,12,6,19.293,-99.234
2023,Febrero,2023-02-20,09:15:00,DELITO DE BAJO IMPACTO,AGENCIA DE DENUNCIA DIGITAL,CEN-B,UI-1SD,VILLA LÁZARO CÁRDENAS,Villa Lazaro Cardenas,19.2970212628927,-99.1367203695826,2,9,19.297,-99.137
2023,Diciembre,2023-12-29,22:30:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-4,UI-1SD,SAN LORENZO HUIPULCO,Pueblo San Lorenzo Huipulco,19.2969940459836,-99.1505049196764,12,22,19.297,-99.151
2024,Enero,2024-01-02,04:00:00,DELITO DE BAJO IMPACTO,AGENCIA DE DENUNCIA DIGITAL,CEN-B,UI-1SD,ZACATÓN,Desconocido,19.2657804136917,-99.2400357098326,1,4,19.266,-99.24
2023,Diciembre,2023-12-31,22:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-4,UI-1SD,SAN LORENZO HUIPULCO,Pueblo San Lorenzo Huipulco,19.2953257698472,-99.147139419922,12,22,19.295,-99.147
2024,Enero,2024-01-03,09:50:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,PARRES EL GUARDA,Pueblo Parres El Guarda,19.1346675617682,-99.175391789978,1,9,19.135,-99.175
2024,Enero,2024-01-03,07:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN COYOACÁN,COY-1,UI-2CD,LA MAGDALENA PETLACALCO,Pueblo La Magdalena Petlacalco,19.2337976967808,-99.1791039704034,1,7,19.234,-99.179
2024,Enero,2024-01-02,23:00:00,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-1,UI-1SD,PEDREGAL DE SAN NICOLÁS 4A SECCIÓN,Pedregal De San Nicolas 4a Seccion,19.2784787353679,-99.2303985401831,1,23,19.278,-99.23
2023,Diciembre,2023-12-25,07:55:00,DELITO DE BAJO IMPACTO,AGENCIA DE DENUNCIA DIGITAL,CEN-B,UI-1SD,PLAZA COAPA,Villa Coapa,19.2940747572715,-99.1283333300741,12,7,19.294,-99.128
2023,Diciembre,2023-12-11,13:48:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-4,UI-1SD,A.M.S.A,A M S A,19.2856486642147,-99.136872589741,12,13,19.286,-99.137
2024,Enero,2024-01-03,14:30:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN COYOACÁN,COY-4,UI-2SD,ISIDRO FABELA,Isidro Fabela,19.2985249829048,-99.1733546597866,1,14,19.299,-99.173
2024,Enero,2024-01-03,12:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,SANTA ÚRSULA XITLA,Pueblo Santa Ursula Xitla,19.2802244109677,-99.1790704397212,1,12,19.28,-99.179
2024,Enero,2024-01-01,18:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,SAN MIGUEL TOPILEJO,Desconocido,19.191529383516,-99.1417857302,1,18,19.192,-99.142
2023,Diciembre,2023-12-17,08:30:00,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN ESTRATÉGICA DEL DELITO DE ROBO DE VEHÍCULOS Y TRANSPORTE,ORIENTEII,UI-2CD,SANTO TOMAS AJUSCO,Desconocido,19.2104629112033,-99.2104107104075,12,8,19.21,-99.21
2024,Enero,2024-01-02,20:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,SANTA ÚRSULA XITLA,Pueblo Santa Ursula Xitla,19.2814662462229,-99.1780619300551,1,20,19.281,-99.178
2024,Enero,2024-01-03,01:30:00,DELITO DE BAJO IMPACTO,AGENCIA DE DENUNCIA DIGITAL,CEN-B,UI-1SD,TLALPAN CENTRO I,Tlalpan,19.2876890764114,-99.1638130303517,1,1,19.288,-99.164
2024,Enero,2024-01-03,06:15:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,SAN PEDRO MÁRTIR,Pueblo San Pedro Martir,19.265817974282,-99.1709098197768,1,6,19.266,-99.171
2023,Diciembre,2023-12-08,13:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,SAN MIGUEL TOPILEJO,Pueblo San Miguel Topilejo,19.1993288598209,-99.1399714396279,12,13,19.199,-99.14
2024,Enero,2024-01-03,13:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-4,UI-1SD,GUADALUPE,Guadalupe,19.2851866220031,-99.1448964201005,1,13,19.285,-99.145
2023,Enero,2023-01-03,14:15:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN DEL DELITO DE VIOLENCIA FAMILIAR,75,UI-2CD,PEDREGAL DEL LAGO,Fuentes Del Pedregal,19.3103389533838,-99.2237744607574,1,14,19.31,-99.224
2024,Enero,2024-01-03,18:07:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-1,UI-1SD,MIGUEL HIDALGO 4A SECCIÓN,Miguel Hidalgo 4a Seccion,19.2720098555816,-99.2066864700849,1,18,19.272,-99.207
2023,Diciembre,2023-12-18,12:30:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,SANTA ÚRSULA XITLA,Pueblo Santa Ursula Xitla,19.2814421897049,-99.1780887503902,12,12,19.281,-99.178
2024,Enero,2024-01-03,17:15:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,MIGUEL HIDALGO 1A SECCIÓN,Barrio De Caramaguey,19.2943252366051,-99.1819600802865,1,17,19.294,-99.182
2023,Diciembre,2023-12-11,14:20:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-1,UI-1SD,PEDREGAL DE SAN NICOLÁS 1A SECCIÓN,Pedregal De San Nicolas 1a Seccion,19.2958181855137,-99.2323672583266,12,14,19.296,-99.232
2023,Diciembre,2023-12-27,23:45:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,PEDREGAL DE LAS ÁGUILAS,Los Volcanes,19.2710825367544,-99.1739922803561,12,23,19.271,-99.174
2024,Enero,2024-01-03,18:41:00,DELITO DE BAJO IMPACTO,AGENCIA DE DENUNCIA DIGITAL,CEN-B,UI-1SD,BARRIO EL CAPULÍN,Barrio El Capulin,19.2822000511735,-99.1908919595576,1,18,19.282,-99.191
2023,Diciembre,2023-12-28,22:20:00,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-1,UI-1SD,LOMAS DE PADIERNA,Lomas De Padierna,19.2908817463423,-99.2179622102284,12,22,19.291,-99.218
2024,Enero,2024-01-03,18:30:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,ISIDRO FABELA SECCION CANTIL,Ampliacion Isidro Fabela,19.2972099535733,-99.1698574492467,1,18,19.297,-99.17
2024,Enero,2024-01-03,11:24:00,DELITO DE BAJO IMPACTO,AGENCIA DE DENUNCIA DIGITAL,CEN-B,UI-1SD,MIGUEL HIDALGO 3A SECCIÓN,Miguel Hidalgo 3a Seccion,19.2849112971599,-99.2052954197843,1,11,19.285,-99.205
2024,Enero,2024-01-03,10:47:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-4,UI-1SD,VERGEL COAPA,Residencial Miramontes,19.3004233339757,-99.1249049804101,1,10,19.3,-99.125
2023,Noviembre,2023-11-27,19:30:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,MARÍA ESTHER ZUNO DE ECHEVERRÍA,Mirador Del Valle,19.2553681964146,-99.1842118404181,11,19,19.255,-99.184
2024,Enero,2024-01-03,12:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-4,UI-1SD,NARCISO MENDOZA SUPER MANZANA 6 VILLA COAPA,Narciso Mendoza,19.293459246934,-99.1209327602586,1,12,19.293,-99.121
2024,Enero,2024-01-03,19:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN DEL DELITO DE VIOLENCIA FAMILIAR,CJM-TLP,2 SIN DETENIDO,MIRADOR II,Mirador Ii,19.2679245664177,-99.2246879667174,1,19,19.268,-99.225
2024,Enero,2024-01-03,17:30:00,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN MAGDALENA CONTRERAS,UAT-MC-2,UI-1SD,TLALPAN CENTRO II,Tlalpan Centro,19.2798026180278,-99.168807239939,1,17,19.28,-99.169
2024,Enero,2024-01-03,12:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-4,UI-1SD,A.M.S.A,A M S A,19.2865489563993,-99.1380058096945,1,12,19.287,-99.138
2023,Septiembre,2023-09-25,12:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-4,UI-1SD,NARCISO MENDOZA SUPER MANZANA 6 VILLA COAPA,Narciso Mendoza,19.2918593014102,-99.1228473599989,9,12,19.292,-99.123
2024,Enero,2024-01-04,00:00:00,LESIONES DOLOSAS POR DISPARO DE ARMA DE FUEGO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,LA MAGDALENA PETLACALCO,Pueblo La Magdalena Petlacalco,19.2336761365119,-99.1786670402779,1,0,19.234,-99.179
2023,Diciembre,2023-12-04,06:10:00,DELITO DE BAJO IMPACTO,AGENCIA DE DENUNCIA DIGITAL,CEN-B,UI-1SD,ISIDRO FABELA,Isidro Fabela,19.3013106925648,-99.1691756403187,12,6,19.301,-99.169
2023,Diciembre,2023-12-16,18:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,RESIDENCIAL VILLA COAPA SUPER MANZANA 1,Residencial Villa Coapa,19.2929305733828,-99.1182906002782,12,18,19.293,-99.118
